Alternative,Argentina,Brazil,Chile,China,India,Japan,South Korea,Poland,South Africa,Turkey
Good,"77,8","77,5","73,1","93,6","84,4","62,8","89,3","88,8","73,6","84,9"
Neither,"13,9","11,8",13,"4,1","10,3","26,5","5,8","4,5","6,4","7,1"
Bad,"8,3",10,"13,8","0,7","5,1","7,5","3,7","6,1","9,5","2,1"
