Alternative,Argentina,Chile,China,India,Japan,South Korea,Pakistan,Peru,South Africa,Sweden,Turkey,Egypt,United States
A religious person,"80,9","68,8","13,7",75,"23,1","30,8","85,8","86,2","76,8","37,1","78,8","98,4","81,2"
Not a religious person,"12,3","27,1","55,3","16,9",52,"37,7","8,8","10,7","17,7","51,8",18,"1,3","15,8"
A convinced atheist,"2,7","1,4",24,"2,4",12,"31,3",0,"0,7","2,9","6,4",1,0,"1,4"
