Alternative,Argentina,Chile,China,India,Japan,South Korea,Pakistan,Peru,South Africa,Sweden,Turkey,Egypt,United States
More than once a week,8,"11,1","0,7","15,3","1,7","13,1",50,"16,5","19,4","0,5","18,1","22,4","16,4"
Once,"16,5","19,4","1,5","16,7","2,3","17,1","24,1","30,4","32,4","3,3","18,9","19,8","28,7"
Once month,"18,3","14,2","0,9","19,2","8,1",8,17,"24,2","16,6","5,6","1,9","2,5",15
Only on special holy days,"8,6","6,8","5,4","24,8","42,6","11,2","5,4",11,6,"10,6","15,7","24,9","10,5"
Once a year,"8,7","10,6","0,8",9,"21,8","6,9","3,4","6,5","1,9","21,3","5,7","5,2",7
Less often,"11,8","14,3",1,"11,7","13,6","27,6",0,"6,1","13,4","13,1","3,3","0,1","7,5"
Never practically never,"28,1","22,1","2,6","3,1","8,4",16,0,"4,9","10,3","45,5","34,8","25,1","14,8"
