Alternative,Argentina,Chile,China,India,Japan,South Korea,Pakistan,Peru,South Africa,Sweden,Turkey,Egypt,United States
Good,"66,3","53,4","89,5","56,5","57,4","68,8",71,"75,7","61,8","32,4","88,2","87,6","56,5"
Don´t mind,"19,9","30,7","2,2","35,7","30,2","20,5","13,9","14,6",32,28,"6,9","7,4","34,4"
Bad,"11,6","11,2","0,9","7,2","7,2","10,2","6,8","6,5","6,1","31,4","3,4","3,4","8,6"
