Alternative,Argentina,Australia,Brazil,Chile,China,Colombia,Germany,Ghana,Hong Kong,India,Japan,South Korea,Netherlands,New Zealand,Peru,Poland,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States
A religious person,"78,1","51,4","87,2","63,4",23,"79,9","40,7","90,8","27,2","72,8","21,2",30,"50,7",45,"78,8",92,"79,7","32,7","35,5",81,"74,4","92,3",69
Not a religious person,"15,9","37,5","10,7","31,4","58,7","19,5",36,"7,9","67,1","18,2","54,3","41,2","31,7","39,1","15,9","3,9","17,2","48,2","64,3","16,6",15,"7,4","23,4"
A convinced atheist,"2,2","9,8","1,2","3,2","16,3","0,5","18,2","0,5","5,4","2,3",12,"28,5","6,7","6,3","1,4","1,4","1,1","16,8","0,2","0,5","2,8",0,"3,4"
