Alternative,Argentina,Australia,Brazil,Chile,China,Colombia,Germany,Ghana,Hong Kong,India,Japan,South Korea,Netherlands,New Zealand,Peru,Poland,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States
Good,"60,5","41,9","70,9","53,7","79,3","82,7","55,3","84,4","37,7","49,7","65,8","72,8","43,9","44,8","75,9","69,9","63,7","41,7","43,7","71,1","70,9","77,6","49,5"
Don´t mind,"29,9","48,7","18,3","29,8","8,1","9,1","32,8",11,"55,4","42,4","27,7","21,1","37,4","44,1","12,4",13,"32,6","29,4","36,8","22,5","16,9","19,8","41,7"
Bad,"9,1","5,8","9,2","7,9",1,"5,3","7,8","1,6","5,4",7,"4,7","6,1",12,5,"6,6","8,7","3,7","24,6","18,3","2,2",2,"1,4","6,5"
