Alternative,Argentina,Australia,Brazil,Chile,China,Colombia,Germany,Ghana,India,Japan,South Korea,Netherlands,Peru,Poland,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States
Used last week,"18,5","47,4","24,6","28,2","12,2","16,9","45,5","7,9","9,2","44,3","59,2","65,6",29,"27,5","9,7",71,"14,1","20,9",10,"8,7","63,5"
Not used last week,"80,6","46,6",75,"71,6","86,8","83,1",53,"77,8","90,6","52,1","40,8","30,3","69,4","72,5","90,3","28,9","85,3","78,5","87,1","81,9","30,8"
