Alternative,Argentina,Australia,Armenia,Brazil,Chile,China,Colombia,Ecuador,Germany,Ghana,Haiti,Hong Kong,India,Japan,South Korea,Libya,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Qatar,Singapore,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States
Good thing,"47,1","41,9",61,"70,9",50,"77,6","76,4","73,2","59,1","83,8","65,2","69,8","59,4","70,7","66,6",86,"52,9","40,7","58,4","69,1","73,6","79,7","94,6","42,8","46,9","46,3","45,6","58,6","70,3","85,6","48,9"
Don´t mind,"37,6","48,9",27,"15,7","35,1","13,9","14,8","22,1","27,9","11,8","19,3","23,9","19,5","22,7","26,2","7,5","29,8","49,7","25,2","18,9","21,6","11,3",2,"55,1","34,9","30,4","37,1","33,7","26,2","12,1","42,3"
Bad thing,"9,5","6,1","6,1","9,7",7,2,"7,2","4,2","12,1","4,4","14,7","6,1","7,5",5,"6,3","3,5","4,5","6,3","12,4","5,3","4,8","5,8","2,8",2,"10,6","18,8","16,6","4,2","3,5","2,3","6,9"
