Alternative,Argentina,Australia,Armenia,Brazil,Chile,China,Colombia,Ecuador,Germany,Ghana,Haiti,Hong Kong,India,Japan,South Korea,Libya,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Qatar,Singapore,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States
Never,"29,4","10,3","52,9","37,4","30,4",42,"39,4","35,8","24,5","72,3","50,5","18,3","59,3","34,8","19,7",33,"1,7","11,8","53,2","35,6","54,7","35,7",12,"22,7","57,5","7,5","52,6","47,8","51,1","67,7","4,9"
Occasionally,"25,1","17,1","17,9","18,3","23,2","24,2","24,5","28,2","16,5","11,9","29,3","29,1","11,9","24,4","25,5","30,3","16,3","17,2","15,7","27,7","29,6","18,6","26,2","24,2","26,6","9,9","23,4","28,3","18,4","16,2","23,8"
Frequently,"41,8",72,"28,5","40,2","44,8","23,7","35,9",32,"58,7",11,"14,5","51,4","6,4","40,2","51,6","30,8","80,5","69,4","7,7","34,5","12,1","44,5","54,7","50,4","13,7","82,1","19,2","22,6","28,6","15,7","70,2"
Don´t know what a computer is,"2,4",0,"0,8","2,6","1,4","2,2","0,1","3,3",0,"4,7","2,8",1,"12,9",0,"1,3","3,8",0,0,"20,9","2,2","3,5","1,1","7,1","2,6",0,0,"2,4","0,8",2,"0,4",0
