Alternative,Argentina,Australia,Armenia,Brazil,Chile,China,Colombia,Ecuador,Germany,Ghana,Haiti,Hong Kong,India,Japan,South Korea,Libya,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Qatar,Singapore,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States
Strongly agree,"6,1","4,5","10,5",12,"6,6","1,5","15,8",24,"3,3","47,9","16,3","6,6","27,4","0,5","4,3","76,8","1,8","5,8","69,2","10,8","18,8",6,"90,1","6,4","35,1","1,5","10,1","35,2","8,3","73,4","15,3"
Agree,"21,5","8,3","23,2","26,2","28,3","3,4","41,5","27,7","10,8","40,1","35,8","22,5","26,4","3,2","13,9",15,"3,3","6,7","26,6","35,1","37,7","19,5",8,27,"40,2","5,9","26,2","35,1","17,9","21,4","23,6"
Disagree,"35,1","43,5","34,8","42,1","31,3",28,"31,9","28,8","35,4",8,"17,7","53,1","22,4","40,1","42,3","3,9","30,3","39,8",3,"34,4","35,3",50,"1,4","37,8","10,5","35,1",35,"15,8",33,"3,9","37,4"
Strongly disagree,"25,6","41,3","14,4","10,9",19,"43,7","7,5","17,6","44,7","2,6","27,5",17,"8,6","21,3","18,4",1,53,"33,9","0,3",7,"5,5","13,5","0,1","19,5",4,"52,2","16,7","5,1",23,"0,8","21,5"
