Alternative,Argentina,Australia,Armenia,Brazil,Chile,China,Colombia,Ecuador,Germany,Ghana,Haiti,Hong Kong,India,Japan,South Korea,Libya,Netherlands,New Zealand,Pakistan,Peru,Philippines,Poland,Qatar,Singapore,South Africa,Sweden,Thailand,Turkey,Ukraine,Egypt,United States
Very important,"24,1","14,1","57,5","51,5","23,8","2,6","58,9","67,1","13,1","91,1",28,"12,1","67,1","5,4","25,7","94,9","10,7","18,7","89,5","49,9","85,9","45,7","98,9","43,1","55,8","7,9","56,6","68,1","26,3","94,1","40,4"
Rather important,"32,1",17,"31,8","37,9","35,1",8,"26,5","20,8","24,9","7,4","47,4","21,3","24,2","13,6","28,5",3,"14,5","17,4",8,"30,3","12,2","33,9","0,9","33,6","28,1","18,3","31,1","24,6","34,5","5,7",28
Not very important,"24,7","27,9","7,1","7,3","27,3","29,6","11,1","9,5","36,1","1,5","16,1","43,8","5,5","33,2","26,1","0,3","28,9","27,9","1,2","15,7","1,6","15,1","0,2","17,8","9,8","38,5","9,5",4,"26,5",0,"18,2"
Not at all important,"17,8","37,4","3,5","3,2",13,"49,8","3,5","2,7","25,6",0,"7,4","22,6","1,8","34,3","18,5","0,1","43,8","30,7","0,6","2,8","0,3","4,8",0,"5,4","4,8","34,3","2,3",3,"12,8","0,1","12,7"
